month,market_index,index_value,monthly_change_pct
2025-01,Steel mill products,104.41,0.0042
2025-02,Steel mill products,102.91,-0.0144
2025-03,Steel mill products,108.18,0.0512
2025-04,Steel mill products,108.45,0.0026
2025-05,Steel mill products,111.09,0.0243
2025-06,Steel mill products,114.25,0.0284
2025-07,Steel mill products,115.08,0.0073
2025-08,Steel mill products,115.96,0.0076
2025-09,Steel mill products,119.98,0.0347
2025-10,Steel mill products,125.19,0.0434
2025-11,Steel mill products,125.88,0.0056
2025-12,Steel mill products,127.88,0.0158
2026-01,Steel mill products,134.38,0.0509
2026-02,Steel mill products,136.69,0.0171
2026-03,Steel mill products,138.86,0.0159
2026-04,Steel mill products,143.81,0.0356
2026-05,Steel mill products,148.11,0.0299
2026-06,Steel mill products,146.04,-0.014
2025-01,Industrial machinery,102.56,0.0122
2025-02,Industrial machinery,102.34,-0.0022
2025-03,Industrial machinery,103.56,0.0119
2025-04,Industrial machinery,102.74,-0.0079
2025-05,Industrial machinery,101.54,-0.0116
2025-06,Industrial machinery,101.1,-0.0044
2025-07,Industrial machinery,101.31,0.002
2025-08,Industrial machinery,103.34,0.0201
2025-09,Industrial machinery,101.61,-0.0167
2025-10,Industrial machinery,101.76,0.0015
2025-11,Industrial machinery,102.11,0.0034
2025-12,Industrial machinery,102.01,-0.0011
2026-01,Industrial machinery,103.01,0.0099
2026-02,Industrial machinery,102.26,-0.0073
2026-03,Industrial machinery,103.01,0.0073
2026-04,Industrial machinery,100.9,-0.0204
2026-05,Industrial machinery,101.24,0.0034
2026-06,Industrial machinery,99.65,-0.0158
2025-01,Electronic components,101.91,0.01
2025-02,Electronic components,106.61,0.0461
2025-03,Electronic components,107.6,0.0092
2025-04,Electronic components,108.13,0.005
2025-05,Electronic components,108.73,0.0055
2025-06,Electronic components,106.8,-0.0177
2025-07,Electronic components,107.52,0.0067
2025-08,Electronic components,109.82,0.0214
2025-09,Electronic components,109.18,-0.0058
2025-10,Electronic components,106.92,-0.0207
2025-11,Electronic components,108.78,0.0173
2025-12,Electronic components,111.66,0.0265
2026-01,Electronic components,111.35,-0.0028
2026-02,Electronic components,112.06,0.0064
2026-03,Electronic components,112.88,0.0073
2026-04,Electronic components,111.62,-0.0112
2026-05,Electronic components,116.59,0.0446
2026-06,Electronic components,115.72,-0.0075
2025-01,Diesel fuel,97.0,0.0056
2025-02,Diesel fuel,89.53,-0.0771
2025-03,Diesel fuel,93.42,0.0435
2025-04,Diesel fuel,94.89,0.0157
2025-05,Diesel fuel,100.66,0.0609
2025-06,Diesel fuel,109.02,0.083
2025-07,Diesel fuel,121.92,0.1183
2025-08,Diesel fuel,129.57,0.0628
2025-09,Diesel fuel,131.52,0.0151
2025-10,Diesel fuel,114.52,-0.1293
2025-11,Diesel fuel,119.09,0.0399
2025-12,Diesel fuel,113.21,-0.0494
2026-01,Diesel fuel,125.92,0.1122
2026-02,Diesel fuel,129.73,0.0303
2026-03,Diesel fuel,141.87,0.0936
2026-04,Diesel fuel,150.3,0.0594
2026-05,Diesel fuel,157.71,0.0493
2026-06,Diesel fuel,147.8,-0.0629
2025-01,Industrial supplies,102.94,0.0191
2025-02,Industrial supplies,102.51,-0.0041
2025-03,Industrial supplies,103.46,0.0093
2025-04,Industrial supplies,102.15,-0.0126
2025-05,Industrial supplies,102.51,0.0035
2025-06,Industrial supplies,104.52,0.0196
2025-07,Industrial supplies,104.63,0.001
2025-08,Industrial supplies,103.86,-0.0074
2025-09,Industrial supplies,104.94,0.0105
2025-10,Industrial supplies,105.16,0.002
2025-11,Industrial supplies,106.55,0.0133
2025-12,Industrial supplies,106.84,0.0027
2026-01,Industrial supplies,107.67,0.0078
2026-02,Industrial supplies,106.77,-0.0084
2026-03,Industrial supplies,105.54,-0.0116
2026-04,Industrial supplies,105.57,0.0003
2026-05,Industrial supplies,106.3,0.007
2026-06,Industrial supplies,105.02,-0.012
2025-01,Freight labor,101.28,-0.0049
2025-02,Freight labor,99.81,-0.0146
2025-03,Freight labor,102.08,0.0228
2025-04,Freight labor,101.41,-0.0066
2025-05,Freight labor,102.0,0.0058
2025-06,Freight labor,99.81,-0.0214
2025-07,Freight labor,98.72,-0.011
2025-08,Freight labor,99.22,0.0051
2025-09,Freight labor,99.54,0.0032
2025-10,Freight labor,98.26,-0.0129
2025-11,Freight labor,97.83,-0.0043
2025-12,Freight labor,98.81,0.01
2026-01,Freight labor,97.51,-0.0132
2026-02,Freight labor,97.0,-0.0052
2026-03,Freight labor,94.78,-0.0229
2026-04,Freight labor,96.26,0.0156
2026-05,Freight labor,98.53,0.0236
2026-06,Freight labor,99.67,0.0115
2025-01,Construction labor,100.93,-0.0111
2025-02,Construction labor,103.06,0.0211
2025-03,Construction labor,104.3,0.0121
2025-04,Construction labor,105.3,0.0096
2025-05,Construction labor,107.19,0.018
2025-06,Construction labor,109.51,0.0216
2025-07,Construction labor,112.82,0.0303
2025-08,Construction labor,110.12,-0.024
2025-09,Construction labor,111.07,0.0086
2025-10,Construction labor,110.33,-0.0067
2025-11,Construction labor,110.41,0.0007
2025-12,Construction labor,110.45,0.0003
2026-01,Construction labor,111.7,0.0114
2026-02,Construction labor,112.87,0.0105
2026-03,Construction labor,115.88,0.0267
2026-04,Construction labor,118.88,0.0259
2026-05,Construction labor,119.54,0.0056
2026-06,Construction labor,120.55,0.0084
2025-01,Cloud services,99.42,-0.0071
2025-02,Cloud services,100.51,0.0109
2025-03,Cloud services,100.64,0.0013
2025-04,Cloud services,99.65,-0.0099
2025-05,Cloud services,99.11,-0.0054
2025-06,Cloud services,99.09,-0.0002
2025-07,Cloud services,98.13,-0.0097
2025-08,Cloud services,98.94,0.0082
2025-09,Cloud services,98.37,-0.0057
2025-10,Cloud services,97.83,-0.0055
2025-11,Cloud services,96.57,-0.0129
2025-12,Cloud services,96.18,-0.004
2026-01,Cloud services,96.18,0.0
2026-02,Cloud services,96.85,0.0069
2026-03,Cloud services,97.41,0.0058
2026-04,Cloud services,97.28,-0.0014
2026-05,Cloud services,97.2,-0.0008
2026-06,Cloud services,97.45,0.0025
2025-01,Facilities services,101.31,0.0104
2025-02,Facilities services,100.76,-0.0054
2025-03,Facilities services,100.41,-0.0035
2025-04,Facilities services,99.23,-0.0117
2025-05,Facilities services,100.16,0.0094
2025-06,Facilities services,99.49,-0.0067
2025-07,Facilities services,101.25,0.0177
2025-08,Facilities services,102.72,0.0145
2025-09,Facilities services,103.22,0.0048
2025-10,Facilities services,103.23,0.0
2025-11,Facilities services,101.97,-0.0122
2025-12,Facilities services,102.07,0.0009
2026-01,Facilities services,105.32,0.0319
2026-02,Facilities services,107.98,0.0253
2026-03,Facilities services,107.21,-0.0071
2026-04,Facilities services,108.6,0.0129
2026-05,Facilities services,108.21,-0.0036
2026-06,Facilities services,106.02,-0.0203
2025-01,Professional labor,99.93,0.0197
2025-02,Professional labor,100.27,0.0034
2025-03,Professional labor,101.28,0.0101
2025-04,Professional labor,100.59,-0.0068
2025-05,Professional labor,102.93,0.0232
2025-06,Professional labor,103.9,0.0095
