action_id,entity_id,action_type,effort_hours,expected_lift_pct,status
ACT0001,SPE014,document,26,23.4,Proposed
ACT0002,SPE004,document,29,8.7,Proposed
ACT0003,SPE011,document,29,18.4,Complete
ACT0004,SPE027,monitor,22,2.9,Proposed
ACT0005,SPE025,validate,11,11.7,Ready
ACT0006,SPE034,automate,15,20.5,Proposed
ACT0007,SPE023,prioritize,8,21.6,Complete
ACT0008,SPE003,document,5,20.1,Complete
ACT0009,SPE002,prioritize,35,4.7,Ready
ACT0010,SPE005,document,26,5.1,Ready
ACT0011,SPE026,automate,39,20.9,Proposed
ACT0012,SPE016,monitor,15,18.9,Proposed
ACT0013,SPE018,prioritize,31,2.1,Proposed
ACT0014,SPE027,monitor,23,20.3,In Review
ACT0015,SPE030,document,17,20.9,Ready
ACT0016,SPE016,monitor,44,18.8,Ready
ACT0017,SPE028,validate,27,11.3,Ready
ACT0018,SPE013,escalate,17,11.0,Complete
ACT0019,SPE022,validate,17,9.3,In Review
ACT0020,SPE022,validate,8,18.7,Ready
ACT0021,SPE007,escalate,14,22.4,Ready
ACT0022,SPE023,validate,17,17.4,Complete
ACT0023,SPE005,validate,41,19.7,Complete
ACT0024,SPE015,automate,5,18.3,Proposed
ACT0025,SPE031,prioritize,14,17.4,Proposed
ACT0026,SPE010,monitor,15,13.6,Ready
ACT0027,SPE021,document,24,14.0,Proposed
ACT0028,SPE012,validate,14,20.2,Proposed
ACT0029,SPE012,escalate,42,14.3,Ready
ACT0030,SPE004,automate,35,20.3,In Review
ACT0031,SPE026,automate,41,18.3,Complete
ACT0032,SPE017,document,17,2.8,Ready
ACT0033,SPE019,validate,10,23.3,Complete
ACT0034,SPE012,validate,8,20.8,In Review
ACT0035,SPE010,automate,25,4.4,Ready
ACT0036,SPE033,automate,37,6.7,Proposed
ACT0037,SPE021,escalate,20,12.9,Ready
ACT0038,SPE015,validate,19,3.4,Ready
ACT0039,SPE009,document,12,5.6,Proposed
ACT0040,SPE008,document,36,5.2,Complete
ACT0041,SPE005,monitor,42,17.4,Ready
ACT0042,SPE019,validate,4,20.7,In Review
ACT0043,SPE011,validate,35,15.5,In Review
ACT0044,SPE017,automate,26,21.3,Ready
ACT0045,SPE014,validate,9,10.3,Complete
ACT0046,SPE018,document,36,8.4,Proposed
ACT0047,SPE036,monitor,36,13.8,Proposed
ACT0048,SPE031,monitor,29,18.3,Complete
ACT0049,SPE012,automate,19,15.8,Complete
ACT0050,SPE021,prioritize,24,13.2,In Review
ACT0051,SPE020,prioritize,22,10.3,Complete
ACT0052,SPE031,escalate,42,15.8,Proposed
ACT0053,SPE025,document,40,7.0,In Review
ACT0054,SPE018,prioritize,16,8.7,Complete
ACT0055,SPE011,monitor,20,20.6,In Review
ACT0056,SPE008,document,16,12.1,Ready
ACT0057,SPE002,prioritize,24,5.5,Complete
ACT0058,SPE034,prioritize,29,6.1,Complete
ACT0059,SPE027,validate,39,8.7,Complete
ACT0060,SPE014,document,42,2.3,Proposed
ACT0061,SPE002,prioritize,8,10.9,Complete
ACT0062,SPE025,document,14,2.1,Complete
ACT0063,SPE018,document,29,6.9,Complete
ACT0064,SPE015,prioritize,2,11.6,Proposed
ACT0065,SPE013,automate,38,8.5,Proposed
ACT0066,SPE026,validate,38,17.0,Ready
ACT0067,SPE015,prioritize,29,18.9,In Review
ACT0068,SPE034,validate,14,4.3,In Review
ACT0069,SPE004,validate,17,2.7,In Review
ACT0070,SPE010,monitor,41,21.7,Ready
ACT0071,SPE025,escalate,5,15.7,Proposed
ACT0072,SPE004,escalate,35,18.6,Complete
ACT0073,SPE032,monitor,6,5.4,Complete
ACT0074,SPE003,prioritize,21,15.7,Ready
ACT0075,SPE005,escalate,20,14.9,In Review
ACT0076,SPE024,escalate,20,23.9,Ready
