month,supplier_id,category_id,otif_pct,defect_rate_pct,safety_incidents,invoice_accuracy_pct,responsiveness_score,service_level_score,sla_status
2025-01,SUP-001,CAT-001,80.7,2.77,0,96.9,88.2,86.4,Meets SLA
2025-02,SUP-001,CAT-001,84.6,2.24,0,91.5,86.4,87.3,Meets SLA
2025-03,SUP-001,CAT-001,81.1,2.87,0,86.8,92.3,85.3,Watch
2025-04,SUP-001,CAT-001,74.5,3.3,0,91.1,82.7,81.4,Watch
2025-05,SUP-001,CAT-001,94.1,2.84,0,93.8,88.4,90.6,Meets SLA
2025-06,SUP-001,CAT-001,85.3,1.09,0,90.3,66.3,85.3,Watch
2025-07,SUP-001,CAT-001,93.5,0.89,0,86.9,83.2,91.0,Meets SLA
2025-08,SUP-001,CAT-001,84.8,1.72,0,92.9,74.8,86.3,Meets SLA
2025-09,SUP-001,CAT-001,99,3.82,0,91.0,69.8,87.1,Meets SLA
2025-10,SUP-001,CAT-001,85.7,4.01,0,92.5,73.5,83.0,Watch
2025-11,SUP-001,CAT-001,81.6,3.51,0,89.7,86.3,84.0,Watch
2025-12,SUP-001,CAT-001,80.0,1.21,0,88.5,69.3,83.4,Watch
2026-01,SUP-001,CAT-001,83.7,2.43,0,94.2,82.6,86.4,Meets SLA
2026-02,SUP-001,CAT-001,83.5,2.43,0,89.7,82.4,85.6,Watch
2026-03,SUP-001,CAT-001,73.7,2.46,0,90.8,78.3,81.4,Watch
2026-04,SUP-001,CAT-001,85.5,3.25,0,89.8,77.4,84.2,Watch
2026-05,SUP-001,CAT-001,91.9,2.52,0,85.4,87.3,88.5,Meets SLA
2026-06,SUP-001,CAT-001,79.0,3.62,0,92.2,69.1,80.3,Watch
2025-01,SUP-002,CAT-001,87.3,0.64,0,96.0,91.9,92.3,Meets SLA
2025-02,SUP-002,CAT-001,88.9,0.15,0,99.8,87.1,93.4,Meets SLA
2025-03,SUP-002,CAT-001,85.1,0.98,0,95.9,83.6,89.5,Meets SLA
2025-04,SUP-002,CAT-001,91.4,0.1,0,91.2,93.5,94.0,Meets SLA
2025-05,SUP-002,CAT-001,89.1,1.14,0,95.9,99,93.5,Meets SLA
2025-06,SUP-002,CAT-001,93.8,1.84,0,95.1,85.3,91.6,Meets SLA
2025-07,SUP-002,CAT-001,90.2,1.83,0,95.0,92.9,91.7,Meets SLA
2025-08,SUP-002,CAT-001,97.5,0.75,0,93.9,86.0,94.4,Meets SLA
2025-09,SUP-002,CAT-001,89.3,0.4,0,94.3,91.4,93.0,Meets SLA
