supplier_id,supplier_name,category_id,category_name,supplier_type,diversity_status,rail_qualified,financial_risk,capacity_score,safety_score,innovation_score,service_region,status
SUP-001,Engineering Supplier 1,CAT-001,Rail and Track Materials,Regional specialist,Diverse,Yes,Medium,64.6,77.6,71.6,Gulf,Preferred
SUP-002,Engineering Supplier 2,CAT-001,Rail and Track Materials,Incumbent,Small business,Yes,Medium,98,90.4,87.4,Systemwide,Preferred
SUP-003,Engineering Supplier 3,CAT-001,Rail and Track Materials,Incumbent,Diverse,Yes,Low,63.7,61.8,50.3,Mid-Atlantic,Watch
SUP-004,Engineering Supplier 4,CAT-001,Rail and Track Materials,Regional specialist,Not classified,Yes,Low,58.6,67.2,65.7,Mid-Atlantic,Development
SUP-005,Engineering Supplier 5,CAT-001,Rail and Track Materials,Incumbent,Small business,Yes,Medium,82.9,79.0,90.0,Gulf,Approved
SUP-006,Mechanical Supplier 1,CAT-002,Locomotive Components,Distributor,Small business,Yes,Medium,71.1,70.0,60.7,Gulf,Preferred
SUP-007,Mechanical Supplier 2,CAT-002,Locomotive Components,Challenger,Diverse,Yes,High,90.7,89.0,85.5,Southeast,Preferred
SUP-008,Mechanical Supplier 3,CAT-002,Locomotive Components,Distributor,Diverse,Conditional,Low,58.4,55.5,68.1,Midwest,Watch
SUP-009,Mechanical Supplier 4,CAT-002,Locomotive Components,Incumbent,Not classified,Yes,Low,82.9,78.8,79.3,Midwest,Development
SUP-010,Technology Supplier 1,CAT-003,Signal and Communications,Distributor,Diverse,Yes,High,80.9,81.4,80.2,Mid-Atlantic,Preferred
SUP-011,Technology Supplier 2,CAT-003,Signal and Communications,Distributor,Diverse,Yes,Medium,86.8,93.8,94.2,Gulf,Preferred
SUP-012,Technology Supplier 3,CAT-003,Signal and Communications,Distributor,Non-diverse,Yes,High,66.4,73.0,67.1,Midwest,Development
SUP-013,Technology Supplier 4,CAT-003,Signal and Communications,Incumbent,Non-diverse,Yes,Medium,76.9,81.5,80.7,Systemwide,Approved
SUP-014,Technology Supplier 5,CAT-003,Signal and Communications,Regional specialist,Not classified,Yes,Low,89.2,92.0,66.2,Gulf,Watch
SUP-015,Technology Supplier 6,CAT-003,Signal and Communications,Distributor,Diverse,Yes,Low,66.5,73.0,69.6,Systemwide,Development
SUP-016,Energy Supplier 1,CAT-004,Diesel Fuel and Lubricants,Incumbent,Small business,Yes,Low,81.1,73.2,84.1,Systemwide,Preferred
SUP-017,Energy Supplier 2,CAT-004,Diesel Fuel and Lubricants,Challenger,Small business,Yes,Medium,76.6,82.4,74.7,Gulf,Preferred
SUP-018,Energy Supplier 3,CAT-004,Diesel Fuel and Lubricants,Incumbent,Diverse,Yes,Medium,85.7,93.9,93.5,Southeast,Approved
SUP-019,Energy Supplier 4,CAT-004,Diesel Fuel and Lubricants,Incumbent,Small business,Yes,Low,82.5,72.8,75.5,Gulf,Approved
SUP-020,Energy Supplier 5,CAT-004,Diesel Fuel and Lubricants,Challenger,Diverse,Yes,Medium,58.3,67.1,68.2,Mid-Atlantic,Approved
SUP-021,Energy Supplier 6,CAT-004,Diesel Fuel and Lubricants,Regional specialist,Not classified,Conditional,High,59.9,55.6,40.9,Southeast,Approved
SUP-022,Energy Supplier 7,CAT-004,Diesel Fuel and Lubricants,Distributor,Diverse,Yes,Low,86.3,82.1,80.1,Southeast,Approved
SUP-023,Indirect Supplier 1,CAT-005,MRO Tools and Shop Supplies,Distributor,Small business,Conditional,Low,89.1,89.3,69.1,Systemwide,Preferred
SUP-024,Indirect Supplier 2,CAT-005,MRO Tools and Shop Supplies,Regional specialist,Non-diverse,Yes,High,84.3,86.8,83.9,Mid-Atlantic,Preferred
SUP-025,Indirect Supplier 3,CAT-005,MRO Tools and Shop Supplies,Challenger,Not classified,Yes,Low,85.8,78.6,76.5,Gulf,Approved
SUP-026,Indirect Supplier 4,CAT-005,MRO Tools and Shop Supplies,Distributor,Not classified,Yes,Medium,82.9,90.5,70.1,Mid-Atlantic,Approved
SUP-027,Indirect Supplier 5,CAT-005,MRO Tools and Shop Supplies,Distributor,Small business,Yes,High,80.8,71.1,76.0,Southeast,Development
SUP-028,Indirect Supplier 6,CAT-005,MRO Tools and Shop Supplies,Incumbent,Diverse,Yes,Medium,58.4,63.8,51.2,Gulf,Watch
SUP-029,Indirect Supplier 7,CAT-005,MRO Tools and Shop Supplies,Incumbent,Non-diverse,Yes,Medium,78.7,76.7,96,Southeast,Development
SUP-030,Indirect Supplier 8,CAT-005,MRO Tools and Shop Supplies,Incumbent,Not classified,Yes,Low,82.3,90.7,64.3,Midwest,Development
SUP-031,Indirect Supplier 9,CAT-005,MRO Tools and Shop Supplies,Regional specialist,Not classified,Yes,Medium,74.1,76.6,67.0,Midwest,Approved
SUP-032,Indirect Supplier 10,CAT-005,MRO Tools and Shop Supplies,Challenger,Small business,Conditional,Medium,70.1,72.2,85.2,Systemwide,Approved
SUP-033,Indirect Supplier 11,CAT-005,MRO Tools and Shop Supplies,Challenger,Non-diverse,Conditional,High,78.7,74.3,81.3,Southeast,Development
SUP-034,Indirect Supplier 12,CAT-005,MRO Tools and Shop Supplies,Incumbent,Diverse,Yes,High,78.4,65.6,67.4,Midwest,Development
SUP-035,Indirect Supplier 13,CAT-005,MRO Tools and Shop Supplies,Incumbent,Small business,Yes,Medium,67.2,57.2,46.4,Systemwide,Watch
SUP-036,Indirect Supplier 14,CAT-005,MRO Tools and Shop Supplies,Challenger,Small business,Conditional,High,92.0,90.6,96,Systemwide,Approved
SUP-037,Indirect Supplier 15,CAT-005,MRO Tools and Shop Supplies,Regional specialist,Small business,Conditional,Medium,80.8,61.3,78.2,Southeast,Approved
SUP-038,Indirect Supplier 16,CAT-005,MRO Tools and Shop Supplies,Incumbent,Diverse,Yes,Medium,67.9,66.6,62.5,Midwest,Development
SUP-039,Indirect Supplier 17,CAT-005,MRO Tools and Shop Supplies,Regional specialist,Diverse,Conditional,Medium,98,96.0,96,Midwest,Approved
